,Unnamed: 0,category,message
2897,2359.0,Drug/Narcotics,Another took acid
2898,2360.0,Drug/Narcotics,Another is addicted to
2899,2361.0,Drug/Narcotics,Another growing weed
2900,2362.0,Drug/Narcotics,Another cooking meth
2901,2363.0,Drug/Narcotics,Another making meth
2902,2364.0,Drug/Narcotics,Another is making drugs
2903,2365.0,Drug/Narcotics,Another smoking a blunt
2904,2366.0,Drug/Narcotics,Another tripping out
2905,2367.0,Drug/Narcotics,Another drank too much
2906,2368.0,Drug/Narcotics,Another greened out
2907,2369.0,Larceny/Theft,He stole my bike
2908,2370.0,Larceny/Theft,He stole a bike
2909,2371.0,Larceny/Theft,He bike is gone
2910,2372.0,Larceny/Theft,He took bike
2911,2373.0,Larceny/Theft,He bike
2912,2374.0,Larceny/Theft,He bike lock
2913,2375.0,Larceny/Theft,He stealing
2914,2376.0,Larceny/Theft,He stole
2915,2377.0,Larceny/Theft,He broke
2916,2378.0,Larceny/Theft,He theft
2917,2379.0,Larceny/Theft,He thief
2918,2380.0,Larceny/Theft,He steal
2919,2381.0,Larceny/Theft,He took it
2920,2382.0,Larceny/Theft,He car stolen
2921,2383.0,Larceny/Theft,He car was hijacked
2922,2384.0,Larceny/Theft,He alarm in a car is going off
2923,2385.0,Larceny/Theft,He car is gone
2924,2386.0,Larceny/Theft,He stole car
2925,2387.0,Larceny/Theft,He took car
2926,2388.0,Larceny/Theft,He car
2927,2389.0,Larceny/Theft,He van
2928,2390.0,Larceny/Theft,He suv
2929,2391.0,Larceny/Theft,He tesla
2930,2392.0,Larceny/Theft,He toyota
2931,2393.0,Larceny/Theft,He honda
2932,2394.0,Larceny/Theft,He bmw
2933,2395.0,Larceny/Theft,He mercedes
2934,2396.0,Larceny/Theft,He truck
2935,2397.0,Larceny/Theft,He lock
2936,2398.0,Larceny/Theft,He broke lock
2937,2399.0,Larceny/Theft,He opened door
2938,2400.0,Larceny/Theft,He Somebody broke into my house
2939,2401.0,Larceny/Theft,He break intostole something in my apartment
2940,2402.0,Larceny/Theft,He stole something
2941,2403.0,Larceny/Theft,He stole something in my condo
2942,2404.0,Larceny/Theft,He broke into my apartment
2943,2405.0,Larceny/Theft,He broke into my condo
2944,2406.0,Larceny/Theft,He breaking into that house
2945,2407.0,Larceny/Theft,He breaking into that condo
2946,2408.0,Larceny/Theft,He breaking into that apartment
2947,2409.0,Larceny/Theft,He house
2948,2410.0,Larceny/Theft,He apartment
2949,2411.0,Larceny/Theft,He condo
2950,2412.0,Larceny/Theft,He stole purse
2951,2413.0,Larceny/Theft,He stole money
2952,2414.0,Larceny/Theft,He took phone
2953,2415.0,Larceny/Theft,He ran off after taking something
2954,2416.0,Larceny/Theft,He stole belongings
2955,2417.0,Larceny/Theft,He robbed me
2956,2418.0,Larceny/Theft,He laptop stolen
2957,2419.0,Larceny/Theft,He computer stolen
2958,2420.0,Larceny/Theft,He took from locked car
2959,2421.0,Larceny/Theft,He took credit card
2960,2422.0,Larceny/Theft,He stole wallet
2961,2423.0,Larceny/Theft,He shoplifting
2962,2424.0,Larceny/Theft,He shop lifted
2963,2425.0,Larceny/Theft,He took from store
2964,2426.0,Larceny/Theft,He stole from mall
2965,2427.0,Larceny/Theft,He lost it
2966,2428.0,Larceny/Theft,He stolen bike
2967,2429.0,Larceny/Theft,He stolen motercycke
2968,2430.0,Larceny/Theft,He burglar
2969,2431.0,Larceny/Theft,He robbery
2970,2432.0,Larceny/Theft,He robbed
2971,2433.0,Larceny/Theft,He robbing
2972,2434.0,Larceny/Theft,He robbed me with gun
2973,2435.0,Larceny/Theft,He robbed me with knife
2974,2436.0,Larceny/Theft,He pickpocket
2975,2437.0,Larceny/Theft,She stole my bike
2976,2438.0,Larceny/Theft,She stole a bike
2977,2439.0,Larceny/Theft,She bike is gone
2978,2440.0,Larceny/Theft,She took bike
2979,2441.0,Larceny/Theft,She bike
2980,2442.0,Larceny/Theft,She bike lock
2981,2443.0,Larceny/Theft,She stealing
2982,2444.0,Larceny/Theft,She stole
2983,2445.0,Larceny/Theft,She broke
2984,2446.0,Larceny/Theft,She theft
2985,2447.0,Larceny/Theft,She thief
2986,2448.0,Larceny/Theft,She steal
2987,2449.0,Larceny/Theft,She took it
2988,2450.0,Larceny/Theft,She car stolen
2989,2451.0,Larceny/Theft,She car was hijacked
2990,2452.0,Larceny/Theft,She alarm in a car is going off
2991,2453.0,Larceny/Theft,She car is gone
2992,2454.0,Larceny/Theft,She stole car
2993,2455.0,Larceny/Theft,She took car
2994,2456.0,Larceny/Theft,She car
2995,2457.0,Larceny/Theft,She van
2996,2458.0,Larceny/Theft,She suv
2997,2459.0,Larceny/Theft,She tesla
2998,2460.0,Larceny/Theft,She toyota
2999,2461.0,Larceny/Theft,She honda
3000,2462.0,Larceny/Theft,She bmw
3001,2463.0,Larceny/Theft,She mercedes
3002,2464.0,Larceny/Theft,She truck
3003,2465.0,Larceny/Theft,She lock
3004,2466.0,Larceny/Theft,She broke lock
3005,2467.0,Larceny/Theft,She opened door
3006,2468.0,Larceny/Theft,She Somebody broke into my house
3007,2469.0,Larceny/Theft,She break intostole something in my apartment
3008,2470.0,Larceny/Theft,She stole something
3009,2471.0,Larceny/Theft,She stole something in my condo
3010,2472.0,Larceny/Theft,She broke into my apartment
3011,2473.0,Larceny/Theft,She broke into my condo
3012,2474.0,Larceny/Theft,She breaking into that house
3013,2475.0,Larceny/Theft,She breaking into that condo
3014,2476.0,Larceny/Theft,She breaking into that apartment
3015,2477.0,Larceny/Theft,She house
3016,2478.0,Larceny/Theft,She apartment
3017,2479.0,Larceny/Theft,She condo
3018,2480.0,Larceny/Theft,She stole purse
3019,2481.0,Larceny/Theft,She stole money
3020,2482.0,Larceny/Theft,She took phone
3021,2483.0,Larceny/Theft,She ran off after taking something
3022,2484.0,Larceny/Theft,She stole belongings
3023,2485.0,Larceny/Theft,She robbed me
3024,2486.0,Larceny/Theft,She laptop stolen
3025,2487.0,Larceny/Theft,She computer stolen
3026,2488.0,Larceny/Theft,She took from locked car
3027,2489.0,Larceny/Theft,She took credit card
3028,2490.0,Larceny/Theft,She stole wallet
3029,2491.0,Larceny/Theft,She shoplifting
3030,2492.0,Larceny/Theft,She shop lifted
3031,2493.0,Larceny/Theft,She took from store
3032,2494.0,Larceny/Theft,She stole from mall
3033,2495.0,Larceny/Theft,She lost it
3034,2496.0,Larceny/Theft,She stolen bike
3035,2497.0,Larceny/Theft,She stolen motercycke
3036,2498.0,Larceny/Theft,She burglar
3037,2499.0,Larceny/Theft,She robbery
3038,2500.0,Larceny/Theft,She robbed
3039,2501.0,Larceny/Theft,She robbing
3040,2502.0,Larceny/Theft,She robbed me with gun
3041,2503.0,Larceny/Theft,She robbed me with knife
3042,2504.0,Larceny/Theft,She pickpocket
3043,2505.0,Larceny/Theft,They stole my bike
3044,2506.0,Larceny/Theft,They stole a bike
3045,2507.0,Larceny/Theft,They bike is gone
3046,2508.0,Larceny/Theft,They took bike
3047,2509.0,Larceny/Theft,They bike
3048,2510.0,Larceny/Theft,They bike lock
3049,2511.0,Larceny/Theft,They stealing
3050,2512.0,Larceny/Theft,They stole
3051,2513.0,Larceny/Theft,They broke
3052,2514.0,Larceny/Theft,They theft
3053,2515.0,Larceny/Theft,They thief
3054,2516.0,Larceny/Theft,They steal
3055,2517.0,Larceny/Theft,They took it
3056,2518.0,Larceny/Theft,They car stolen
3057,2519.0,Larceny/Theft,They car was hijacked
3058,2520.0,Larceny/Theft,They alarm in a car is going off
3059,2521.0,Larceny/Theft,They car is gone
3060,2522.0,Larceny/Theft,They stole car
3061,2523.0,Larceny/Theft,They took car
3062,2524.0,Larceny/Theft,They car
3063,2525.0,Larceny/Theft,They van
3064,2526.0,Larceny/Theft,They suv
3065,2527.0,Larceny/Theft,They tesla
3066,2528.0,Larceny/Theft,They toyota
3067,2529.0,Larceny/Theft,They honda
3068,2530.0,Larceny/Theft,They bmw
3069,2531.0,Larceny/Theft,They mercedes
3070,2532.0,Larceny/Theft,They truck
3071,2533.0,Larceny/Theft,They lock
3072,2534.0,Larceny/Theft,They broke lock
3073,2535.0,Larceny/Theft,They opened door
3074,2536.0,Larceny/Theft,They Somebody broke into my house
3075,2537.0,Larceny/Theft,They break intostole something in my apartment
3076,2538.0,Larceny/Theft,They stole something
3077,2539.0,Larceny/Theft,They stole something in my condo
3078,2540.0,Larceny/Theft,They broke into my apartment
3079,2541.0,Larceny/Theft,They broke into my condo
3080,2542.0,Larceny/Theft,They breaking into that house
3081,2543.0,Larceny/Theft,They breaking into that condo
3082,2544.0,Larceny/Theft,They breaking into that apartment
3083,2545.0,Larceny/Theft,They house
3084,2546.0,Larceny/Theft,They apartment
3085,2547.0,Larceny/Theft,They condo
3086,2548.0,Larceny/Theft,They stole purse
3087,2549.0,Larceny/Theft,They stole money
3088,2550.0,Larceny/Theft,They took phone
3089,2551.0,Larceny/Theft,They ran off after taking something
3090,2552.0,Larceny/Theft,They stole belongings
3091,2553.0,Larceny/Theft,They robbed me
3092,2554.0,Larceny/Theft,They laptop stolen
3093,2555.0,Larceny/Theft,They computer stolen
3094,2556.0,Larceny/Theft,They took from locked car
3095,2557.0,Larceny/Theft,They took credit card
3096,2558.0,Larceny/Theft,They stole wallet
3097,2559.0,Larceny/Theft,They shoplifting
3098,2560.0,Larceny/Theft,They shop lifted
3099,2561.0,Larceny/Theft,They took from store
3100,2562.0,Larceny/Theft,They stole from mall
3101,2563.0,Larceny/Theft,They lost it
3102,2564.0,Larceny/Theft,They stolen bike
3103,2565.0,Larceny/Theft,They stolen motercycke
3104,2566.0,Larceny/Theft,They burglar
3105,2567.0,Larceny/Theft,They robbery
3106,2568.0,Larceny/Theft,They robbed
3107,2569.0,Larceny/Theft,They robbing
3108,2570.0,Larceny/Theft,They robbed me with gun
3109,2571.0,Larceny/Theft,They robbed me with knife
3110,2572.0,Larceny/Theft,They pickpocket
3111,2573.0,Larceny/Theft,Us stole my bike
3112,2574.0,Larceny/Theft,Us stole a bike
3113,2575.0,Larceny/Theft,Us bike is gone
3114,2576.0,Larceny/Theft,Us took bike
3115,2577.0,Larceny/Theft,Us bike
3116,2578.0,Larceny/Theft,Us bike lock
3117,2579.0,Larceny/Theft,Us stealing
3118,2580.0,Larceny/Theft,Us stole
3119,2581.0,Larceny/Theft,Us broke
3120,2582.0,Larceny/Theft,Us theft
3121,2583.0,Larceny/Theft,Us thief
3122,2584.0,Larceny/Theft,Us steal
3123,2585.0,Larceny/Theft,Us took it
3124,2586.0,Larceny/Theft,Us car stolen
3125,2587.0,Larceny/Theft,Us car was hijacked
3126,2588.0,Larceny/Theft,Us alarm in a car is going off
3127,2589.0,Larceny/Theft,Us car is gone
3128,2590.0,Larceny/Theft,Us stole car
3129,2591.0,Larceny/Theft,Us took car
3130,2592.0,Larceny/Theft,Us car
3131,2593.0,Larceny/Theft,Us van
3132,2594.0,Larceny/Theft,Us suv
3133,2595.0,Larceny/Theft,Us tesla
3134,2596.0,Larceny/Theft,Us toyota
3135,2597.0,Larceny/Theft,Us honda
3136,2598.0,Larceny/Theft,Us bmw
3137,2599.0,Larceny/Theft,Us mercedes
3138,2600.0,Larceny/Theft,Us truck
3139,2601.0,Larceny/Theft,Us lock
3140,2602.0,Larceny/Theft,Us broke lock
3141,2603.0,Larceny/Theft,Us opened door
3142,2604.0,Larceny/Theft,Us Somebody broke into my house
3143,2605.0,Larceny/Theft,Us break intostole something in my apartment
3144,2606.0,Larceny/Theft,Us stole something
3145,2607.0,Larceny/Theft,Us stole something in my condo
3146,2608.0,Larceny/Theft,Us broke into my apartment
3147,2609.0,Larceny/Theft,Us broke into my condo
3148,2610.0,Larceny/Theft,Us breaking into that house
3149,2611.0,Larceny/Theft,Us breaking into that condo
3150,2612.0,Larceny/Theft,Us breaking into that apartment
3151,2613.0,Larceny/Theft,Us house
3152,2614.0,Larceny/Theft,Us apartment
3153,2615.0,Larceny/Theft,Us condo
3154,2616.0,Larceny/Theft,Us stole purse
3155,2617.0,Larceny/Theft,Us stole money
3156,2618.0,Larceny/Theft,Us took phone
3157,2619.0,Larceny/Theft,Us ran off after taking something
3158,2620.0,Larceny/Theft,Us stole belongings
3159,2621.0,Larceny/Theft,Us robbed me
3160,2622.0,Larceny/Theft,Us laptop stolen
3161,2623.0,Larceny/Theft,Us computer stolen
3162,2624.0,Larceny/Theft,Us took from locked car
3163,2625.0,Larceny/Theft,Us took credit card
3164,2626.0,Larceny/Theft,Us stole wallet
3165,2627.0,Larceny/Theft,Us shoplifting
3166,2628.0,Larceny/Theft,Us shop lifted
3167,2629.0,Larceny/Theft,Us took from store
3168,2630.0,Larceny/Theft,Us stole from mall
3169,2631.0,Larceny/Theft,Us lost it
3170,2632.0,Larceny/Theft,Us stolen bike
3171,2633.0,Larceny/Theft,Us stolen motercycke
3172,2634.0,Larceny/Theft,Us burglar
3173,2635.0,Larceny/Theft,Us robbery
3174,2636.0,Larceny/Theft,Us robbed
3175,2637.0,Larceny/Theft,Us robbing
3176,2638.0,Larceny/Theft,Us robbed me with gun
3177,2639.0,Larceny/Theft,Us robbed me with knife
3178,2640.0,Larceny/Theft,Us pickpocket
3179,2641.0,Larceny/Theft,A guy stole my bike
3180,2642.0,Larceny/Theft,A guy stole a bike
3181,2643.0,Larceny/Theft,A guy bike is gone
3182,2644.0,Larceny/Theft,A guy took bike
3183,2645.0,Larceny/Theft,A guy bike
3184,2646.0,Larceny/Theft,A guy bike lock
3185,2647.0,Larceny/Theft,A guy stealing
3186,2648.0,Larceny/Theft,A guy stole
3187,2649.0,Larceny/Theft,A guy broke
3188,2650.0,Larceny/Theft,A guy theft
3189,2651.0,Larceny/Theft,A guy thief
3190,2652.0,Larceny/Theft,A guy steal
3191,2653.0,Larceny/Theft,A guy took it
3192,2654.0,Larceny/Theft,A guy car stolen
3193,2655.0,Larceny/Theft,A guy car was hijacked
3194,2656.0,Larceny/Theft,A guy alarm in a car is going off
3195,2657.0,Larceny/Theft,A guy car is gone
3196,2658.0,Larceny/Theft,A guy stole car
3197,2659.0,Larceny/Theft,A guy took car
3198,2660.0,Larceny/Theft,A guy car
3199,2661.0,Larceny/Theft,A guy van
3200,2662.0,Larceny/Theft,A guy suv
3201,2663.0,Larceny/Theft,A guy tesla
3202,2664.0,Larceny/Theft,A guy toyota
3203,2665.0,Larceny/Theft,A guy honda
3204,2666.0,Larceny/Theft,A guy bmw
3205,2667.0,Larceny/Theft,A guy mercedes
3206,2668.0,Larceny/Theft,A guy truck
3207,2669.0,Larceny/Theft,A guy lock
3208,2670.0,Larceny/Theft,A guy broke lock
3209,2671.0,Larceny/Theft,A guy opened door
3210,2672.0,Larceny/Theft,A guy Somebody broke into my house
3211,2673.0,Larceny/Theft,A guy break intostole something in my apartment
3212,2674.0,Larceny/Theft,A guy stole something
3213,2675.0,Larceny/Theft,A guy stole something in my condo
3214,2676.0,Larceny/Theft,A guy broke into my apartment
3215,2677.0,Larceny/Theft,A guy broke into my condo
3216,2678.0,Larceny/Theft,A guy breaking into that house
3217,2679.0,Larceny/Theft,A guy breaking into that condo
3218,2680.0,Larceny/Theft,A guy breaking into that apartment
3219,2681.0,Larceny/Theft,A guy house
3220,2682.0,Larceny/Theft,A guy apartment
3221,2683.0,Larceny/Theft,A guy condo
3222,2684.0,Larceny/Theft,A guy stole purse
3223,2685.0,Larceny/Theft,A guy stole money
3224,2686.0,Larceny/Theft,A guy took phone
3225,2687.0,Larceny/Theft,A guy ran off after taking something
3226,2688.0,Larceny/Theft,A guy stole belongings
3227,2689.0,Larceny/Theft,A guy robbed me
3228,2690.0,Larceny/Theft,A guy laptop stolen
3229,2691.0,Larceny/Theft,A guy computer stolen
3230,2692.0,Larceny/Theft,A guy took from locked car
3231,2693.0,Larceny/Theft,A guy took credit card
3232,2694.0,Larceny/Theft,A guy stole wallet
3233,2695.0,Larceny/Theft,A guy shoplifting
3234,2696.0,Larceny/Theft,A guy shop lifted
3235,2697.0,Larceny/Theft,A guy took from store
3236,2698.0,Larceny/Theft,A guy stole from mall
3237,2699.0,Larceny/Theft,A guy lost it
3238,2700.0,Larceny/Theft,A guy stolen bike
3239,2701.0,Larceny/Theft,A guy stolen motercycke
3240,2702.0,Larceny/Theft,A guy burglar
3241,2703.0,Larceny/Theft,A guy robbery
3242,2704.0,Larceny/Theft,A guy robbed
3243,2705.0,Larceny/Theft,A guy robbing
3244,2706.0,Larceny/Theft,A guy robbed me with gun
3245,2707.0,Larceny/Theft,A guy robbed me with knife
3246,2708.0,Larceny/Theft,A guy pickpocket
3247,2709.0,Larceny/Theft,A girl stole my bike
3248,2710.0,Larceny/Theft,A girl stole a bike
3249,2711.0,Larceny/Theft,A girl bike is gone
3250,2712.0,Larceny/Theft,A girl took bike
3251,2713.0,Larceny/Theft,A girl bike
3252,2714.0,Larceny/Theft,A girl bike lock
3253,2715.0,Larceny/Theft,A girl stealing
3254,2716.0,Larceny/Theft,A girl stole
3255,2717.0,Larceny/Theft,A girl broke
3256,2718.0,Larceny/Theft,A girl theft
3257,2719.0,Larceny/Theft,A girl thief
3258,2720.0,Larceny/Theft,A girl steal
3259,2721.0,Larceny/Theft,A girl took it
3260,2722.0,Larceny/Theft,A girl car stolen
3261,2723.0,Larceny/Theft,A girl car was hijacked
3262,2724.0,Larceny/Theft,A girl alarm in a car is going off
3263,2725.0,Larceny/Theft,A girl car is gone
3264,2726.0,Larceny/Theft,A girl stole car
3265,2727.0,Larceny/Theft,A girl took car
3266,2728.0,Larceny/Theft,A girl car
3267,2729.0,Larceny/Theft,A girl van
3268,2730.0,Larceny/Theft,A girl suv
3269,2731.0,Larceny/Theft,A girl tesla
3270,2732.0,Larceny/Theft,A girl toyota
3271,2733.0,Larceny/Theft,A girl honda
3272,2734.0,Larceny/Theft,A girl bmw
3273,2735.0,Larceny/Theft,A girl mercedes
3274,2736.0,Larceny/Theft,A girl truck
3275,2737.0,Larceny/Theft,A girl lock
3276,2738.0,Larceny/Theft,A girl broke lock
3277,2739.0,Larceny/Theft,A girl opened door
3278,2740.0,Larceny/Theft,A girl Somebody broke into my house
3279,2741.0,Larceny/Theft,A girl break intostole something in my apartment
3280,2742.0,Larceny/Theft,A girl stole something
3281,2743.0,Larceny/Theft,A girl stole something in my condo
3282,2744.0,Larceny/Theft,A girl broke into my apartment
3283,2745.0,Larceny/Theft,A girl broke into my condo
3284,2746.0,Larceny/Theft,A girl breaking into that house
3285,2747.0,Larceny/Theft,A girl breaking into that condo
3286,2748.0,Larceny/Theft,A girl breaking into that apartment
3287,2749.0,Larceny/Theft,A girl house
3288,2750.0,Larceny/Theft,A girl apartment
3289,2751.0,Larceny/Theft,A girl condo
3290,2752.0,Larceny/Theft,A girl stole purse
3291,2753.0,Larceny/Theft,A girl stole money
3292,2754.0,Larceny/Theft,A girl took phone
3293,2755.0,Larceny/Theft,A girl ran off after taking something
3294,2756.0,Larceny/Theft,A girl stole belongings
3295,2757.0,Larceny/Theft,A girl robbed me
3296,2758.0,Larceny/Theft,A girl laptop stolen
3297,2759.0,Larceny/Theft,A girl computer stolen
3298,2760.0,Larceny/Theft,A girl took from locked car
3299,2761.0,Larceny/Theft,A girl took credit card
3300,2762.0,Larceny/Theft,A girl stole wallet
3301,2763.0,Larceny/Theft,A girl shoplifting
3302,2764.0,Larceny/Theft,A girl shop lifted
3303,2765.0,Larceny/Theft,A girl took from store
3304,2766.0,Larceny/Theft,A girl stole from mall
3305,2767.0,Larceny/Theft,A girl lost it
3306,2768.0,Larceny/Theft,A girl stolen bike
3307,2769.0,Larceny/Theft,A girl stolen motercycke
3308,2770.0,Larceny/Theft,A girl burglar
3309,2771.0,Larceny/Theft,A girl robbery
3310,2772.0,Larceny/Theft,A girl robbed
3311,2773.0,Larceny/Theft,A girl robbing
3312,2774.0,Larceny/Theft,A girl robbed me with gun
3313,2775.0,Larceny/Theft,A girl robbed me with knife
3314,2776.0,Larceny/Theft,A girl pickpocket
3315,2777.0,Larceny/Theft,A man stole my bike
3316,2778.0,Larceny/Theft,A man stole a bike
3317,2779.0,Larceny/Theft,A man bike is gone
3318,2780.0,Larceny/Theft,A man took bike
3319,2781.0,Larceny/Theft,A man bike
3320,2782.0,Larceny/Theft,A man bike lock
3321,2783.0,Larceny/Theft,A man stealing
3322,2784.0,Larceny/Theft,A man stole
3323,2785.0,Larceny/Theft,A man broke
3324,2786.0,Larceny/Theft,A man theft
3325,2787.0,Larceny/Theft,A man thief
3326,2788.0,Larceny/Theft,A man steal
3327,2789.0,Larceny/Theft,A man took it
3328,2790.0,Larceny/Theft,A man car stolen
3329,2791.0,Larceny/Theft,A man car was hijacked
3330,2792.0,Larceny/Theft,A man alarm in a car is going off
3331,2793.0,Larceny/Theft,A man car is gone
3332,2794.0,Larceny/Theft,A man stole car
3333,2795.0,Larceny/Theft,A man took car
3334,2796.0,Larceny/Theft,A man car
3335,2797.0,Larceny/Theft,A man van
3336,2798.0,Larceny/Theft,A man suv
3337,2799.0,Larceny/Theft,A man tesla
3338,2800.0,Larceny/Theft,A man toyota
3339,2801.0,Larceny/Theft,A man honda
3340,2802.0,Larceny/Theft,A man bmw
3341,2803.0,Larceny/Theft,A man mercedes
3342,2804.0,Larceny/Theft,A man truck
3343,2805.0,Larceny/Theft,A man lock
3344,2806.0,Larceny/Theft,A man broke lock
3345,2807.0,Larceny/Theft,A man opened door
3346,2808.0,Larceny/Theft,A man Somebody broke into my house
3347,2809.0,Larceny/Theft,A man break intostole something in my apartment
3348,2810.0,Larceny/Theft,A man stole something
3349,2811.0,Larceny/Theft,A man stole something in my condo
3350,2812.0,Larceny/Theft,A man broke into my apartment
3351,2813.0,Larceny/Theft,A man broke into my condo
3352,2814.0,Larceny/Theft,A man breaking into that house
3353,2815.0,Larceny/Theft,A man breaking into that condo
3354,2816.0,Larceny/Theft,A man breaking into that apartment
3355,2817.0,Larceny/Theft,A man house
3356,2818.0,Larceny/Theft,A man apartment
3357,2819.0,Larceny/Theft,A man condo
3358,2820.0,Larceny/Theft,A man stole purse
3359,2821.0,Larceny/Theft,A man stole money
3360,2822.0,Larceny/Theft,A man took phone
3361,2823.0,Larceny/Theft,A man ran off after taking something
3362,2824.0,Larceny/Theft,A man stole belongings
3363,2825.0,Larceny/Theft,A man robbed me
3364,2826.0,Larceny/Theft,A man laptop stolen
3365,2827.0,Larceny/Theft,A man computer stolen
3366,2828.0,Larceny/Theft,A man took from locked car
3367,2829.0,Larceny/Theft,A man took credit card
3368,2830.0,Larceny/Theft,A man stole wallet
3369,2831.0,Larceny/Theft,A man shoplifting
3370,2832.0,Larceny/Theft,A man shop lifted
3371,2833.0,Larceny/Theft,A man took from store
3372,2834.0,Larceny/Theft,A man stole from mall
3373,2835.0,Larceny/Theft,A man lost it
3374,2836.0,Larceny/Theft,A man stolen bike
3375,2837.0,Larceny/Theft,A man stolen motercycke
3376,2838.0,Larceny/Theft,A man burglar
3377,2839.0,Larceny/Theft,A man robbery
3378,2840.0,Larceny/Theft,A man robbed
3379,2841.0,Larceny/Theft,A man robbing
3380,2842.0,Larceny/Theft,A man robbed me with gun
3381,2843.0,Larceny/Theft,A man robbed me with knife
3382,2844.0,Larceny/Theft,A man pickpocket
3383,2845.0,Larceny/Theft,A woman stole my bike
3384,2846.0,Larceny/Theft,A woman stole a bike
3385,2847.0,Larceny/Theft,A woman bike is gone
3386,2848.0,Larceny/Theft,A woman took bike
3387,2849.0,Larceny/Theft,A woman bike
3388,2850.0,Larceny/Theft,A woman bike lock
3389,2851.0,Larceny/Theft,A woman stealing
3390,2852.0,Larceny/Theft,A woman stole
3391,2853.0,Larceny/Theft,A woman broke
3392,2854.0,Larceny/Theft,A woman theft
3393,2855.0,Larceny/Theft,A woman thief
3394,2856.0,Larceny/Theft,A woman steal
3395,2857.0,Larceny/Theft,A woman took it
3396,2858.0,Larceny/Theft,A woman car stolen
3397,2859.0,Larceny/Theft,A woman car was hijacked
3398,2860.0,Larceny/Theft,A woman alarm in a car is going off
3399,2861.0,Larceny/Theft,A woman car is gone
3400,2862.0,Larceny/Theft,A woman stole car
3401,2863.0,Larceny/Theft,A woman took car
3402,2864.0,Larceny/Theft,A woman car
3403,2865.0,Larceny/Theft,A woman van
3404,2866.0,Larceny/Theft,A woman suv
3405,2867.0,Larceny/Theft,A woman tesla
3406,2868.0,Larceny/Theft,A woman toyota
3407,2869.0,Larceny/Theft,A woman honda
3408,2870.0,Larceny/Theft,A woman bmw
3409,2871.0,Larceny/Theft,A woman mercedes
3410,2872.0,Larceny/Theft,A woman truck
3411,2873.0,Larceny/Theft,A woman lock
3412,2874.0,Larceny/Theft,A woman broke lock
3413,2875.0,Larceny/Theft,A woman opened door
3414,2876.0,Larceny/Theft,A woman Somebody broke into my house
3415,2877.0,Larceny/Theft,A woman break intostole something in my apartment
3416,2878.0,Larceny/Theft,A woman stole something
3417,2879.0,Larceny/Theft,A woman stole something in my condo
3418,2880.0,Larceny/Theft,A woman broke into my apartment
3419,2881.0,Larceny/Theft,A woman broke into my condo
3420,2882.0,Larceny/Theft,A woman breaking into that house
3421,2883.0,Larceny/Theft,A woman breaking into that condo
3422,2884.0,Larceny/Theft,A woman breaking into that apartment
3423,2885.0,Larceny/Theft,A woman house
3424,2886.0,Larceny/Theft,A woman apartment
3425,2887.0,Larceny/Theft,A woman condo
3426,2888.0,Larceny/Theft,A woman stole purse
3427,2889.0,Larceny/Theft,A woman stole money
3428,2890.0,Larceny/Theft,A woman took phone
3429,2891.0,Larceny/Theft,A woman ran off after taking something
3430,2892.0,Larceny/Theft,A woman stole belongings
3431,2893.0,Larceny/Theft,A woman robbed me
3432,2894.0,Larceny/Theft,A woman laptop stolen
3433,2895.0,Larceny/Theft,A woman computer stolen
3434,2896.0,Larceny/Theft,A woman took from locked car
3435,2897.0,Larceny/Theft,A woman took credit card
3436,2898.0,Larceny/Theft,A woman stole wallet
3437,2899.0,Larceny/Theft,A woman shoplifting
3438,2900.0,Larceny/Theft,A woman shop lifted
3439,2901.0,Larceny/Theft,A woman took from store
3440,2902.0,Larceny/Theft,A woman stole from mall
3441,2903.0,Larceny/Theft,A woman lost it
3442,2904.0,Larceny/Theft,A woman stolen bike
3443,2905.0,Larceny/Theft,A woman stolen motercycke
3444,2906.0,Larceny/Theft,A woman burglar
3445,2907.0,Larceny/Theft,A woman robbery
3446,2908.0,Larceny/Theft,A woman robbed
3447,2909.0,Larceny/Theft,A woman robbing
3448,2910.0,Larceny/Theft,A woman robbed me with gun
3449,2911.0,Larceny/Theft,A woman robbed me with knife
3450,2912.0,Larceny/Theft,A woman pickpocket
3451,2913.0,Larceny/Theft,That guy stole my bike
3452,2914.0,Larceny/Theft,That guy stole a bike
3453,2915.0,Larceny/Theft,That guy bike is gone
3454,2916.0,Larceny/Theft,That guy took bike
3455,2917.0,Larceny/Theft,That guy bike
3456,2918.0,Larceny/Theft,That guy bike lock
3457,2919.0,Larceny/Theft,That guy stealing
3458,2920.0,Larceny/Theft,That guy stole
3459,2921.0,Larceny/Theft,That guy broke
3460,2922.0,Larceny/Theft,That guy theft
3461,2923.0,Larceny/Theft,That guy thief
3462,2924.0,Larceny/Theft,That guy steal
3463,2925.0,Larceny/Theft,That guy took it
3464,2926.0,Larceny/Theft,That guy car stolen
3465,2927.0,Larceny/Theft,That guy car was hijacked
3466,2928.0,Larceny/Theft,That guy alarm in a car is going off
3467,2929.0,Larceny/Theft,That guy car is gone
3468,2930.0,Larceny/Theft,That guy stole car
3469,2931.0,Larceny/Theft,That guy took car
3470,2932.0,Larceny/Theft,That guy car
3471,2933.0,Larceny/Theft,That guy van
3472,2934.0,Larceny/Theft,That guy suv
3473,2935.0,Larceny/Theft,That guy tesla
3474,2936.0,Larceny/Theft,That guy toyota
3475,2937.0,Larceny/Theft,That guy honda
