,category,message
1759,Drug/Narcotics,We took acid
1760,Drug/Narcotics,We is addicted to
1761,Drug/Narcotics,We growing weed
1762,Drug/Narcotics,We cooking meth
1763,Drug/Narcotics,We making meth
1764,Drug/Narcotics,We is making drugs
1765,Drug/Narcotics,We smoking a blunt
1766,Drug/Narcotics,We tripping out
1767,Drug/Narcotics,We drank too much
1768,Drug/Narcotics,We greened out
1769,Drug/Narcotics,men took drugs
1770,Drug/Narcotics,men snorted drugs
1771,Drug/Narcotics,men had drugs
1772,Drug/Narcotics,men smoked drugs
1773,Drug/Narcotics,men injected drugs
1774,Drug/Narcotics,men doing drugs
1775,Drug/Narcotics,men heroin
1776,Drug/Narcotics,men had meth
1777,Drug/Narcotics,men had crack
1778,Drug/Narcotics,men had weed
1779,Drug/Narcotics,men had coke
1780,Drug/Narcotics,men had cocaine
1781,Drug/Narcotics,men doing meth
1782,Drug/Narcotics,men doing coke
1783,Drug/Narcotics,men was selling drugs
1784,Drug/Narcotics,men was selling coke
1785,Drug/Narcotics,men was selling meth
1786,Drug/Narcotics,men was selling weed
1787,Drug/Narcotics,men cocaine
1788,Drug/Narcotics,men coke
1789,Drug/Narcotics,men was selling xanax
1790,Drug/Narcotics,men smoked weed
1791,Drug/Narcotics,men smoked crack
1792,Drug/Narcotics,men smoked meth
1793,Drug/Narcotics,men smoked from a pipe
1794,Drug/Narcotics,men had a joint
1795,Drug/Narcotics,men smells like weed
1796,Drug/Narcotics,men smells like skunk
1797,Drug/Narcotics,men had needles
1798,Drug/Narcotics,men dropped needles
1799,Drug/Narcotics,men has Heroin needles
1800,Drug/Narcotics,men  seems high
1801,Drug/Narcotics,men has used ectasy
1802,Drug/Narcotics,men has used Amphetamines
1803,Drug/Narcotics,men has used Cocaine
1804,Drug/Narcotics,men has used Methamphetamine
1805,Drug/Narcotics,men has used crack
1806,Drug/Narcotics,men on drugs
1807,Drug/Narcotics,men Marijuana Dispensary
1808,Drug/Narcotics,men weed
1809,Drug/Narcotics,men smells like weed
1810,Drug/Narcotics,men Marijuana
1811,Drug/Narcotics,men did dumb things because they are drunk
1812,Drug/Narcotics,men drunk in public
1813,Drug/Narcotics,men smells like alcohol
1814,Drug/Narcotics,men blacked out
1815,Drug/Narcotics,men was drinking
1816,Drug/Narcotics,men  had vodka
1817,Drug/Narcotics,men  has beer
1818,Drug/Narcotics,men at a bar
1819,Drug/Narcotics,men gin
1820,Drug/Narcotics,men possession
1821,Drug/Narcotics,men bong
1822,Drug/Narcotics,men selling drugs
1823,Drug/Narcotics,men dealing drugs
1824,Drug/Narcotics,men dealing weed
1825,Drug/Narcotics,men rock
1826,Drug/Narcotics,men ounce
1827,Drug/Narcotics,men gram
1828,Drug/Narcotics,men has white powder
1829,Drug/Narcotics,men trafficking
1830,Drug/Narcotics,men has a lot of drugs
1831,Drug/Narcotics,men has a shipment
1832,Drug/Narcotics,men hallucinating
1833,Drug/Narcotics,men tripping out
1834,Drug/Narcotics,men took acid
1835,Drug/Narcotics,men is addicted to
1836,Drug/Narcotics,men growing weed
1837,Drug/Narcotics,men cooking meth
1838,Drug/Narcotics,men making meth
1839,Drug/Narcotics,men is making drugs
1840,Drug/Narcotics,men smoking a blunt
1841,Drug/Narcotics,men tripping out
1842,Drug/Narcotics,men drank too much
1843,Drug/Narcotics,men greened out
1844,Drug/Narcotics,women took drugs
1845,Drug/Narcotics,women snorted drugs
1846,Drug/Narcotics,women had drugs
1847,Drug/Narcotics,women smoked drugs
1848,Drug/Narcotics,women injected drugs
1849,Drug/Narcotics,women doing drugs
1850,Drug/Narcotics,women heroin
1851,Drug/Narcotics,women had meth
1852,Drug/Narcotics,women had crack
1853,Drug/Narcotics,women had weed
1854,Drug/Narcotics,women had coke
1855,Drug/Narcotics,women had cocaine
1856,Drug/Narcotics,women doing meth
1857,Drug/Narcotics,women doing coke
1858,Drug/Narcotics,women was selling drugs
1859,Drug/Narcotics,women was selling coke
1860,Drug/Narcotics,women was selling meth
1861,Drug/Narcotics,women was selling weed
1862,Drug/Narcotics,women cocaine
1863,Drug/Narcotics,women coke
1864,Drug/Narcotics,women was selling xanax
1865,Drug/Narcotics,women smoked weed
1866,Drug/Narcotics,women smoked crack
1867,Drug/Narcotics,women smoked meth
1868,Drug/Narcotics,women smoked from a pipe
1869,Drug/Narcotics,women had a joint
1870,Drug/Narcotics,women smells like weed
1871,Drug/Narcotics,women smells like skunk
1872,Drug/Narcotics,women had needles
1873,Drug/Narcotics,women dropped needles
1874,Drug/Narcotics,women has Heroin needles
1875,Drug/Narcotics,women  seems high
1876,Drug/Narcotics,women has used ectasy
1877,Drug/Narcotics,women has used Amphetamines
1878,Drug/Narcotics,women has used Cocaine
1879,Drug/Narcotics,women has used Methamphetamine
1880,Drug/Narcotics,women has used crack
1881,Drug/Narcotics,women on drugs
1882,Drug/Narcotics,women Marijuana Dispensary
1883,Drug/Narcotics,women weed
1884,Drug/Narcotics,women smells like weed
1885,Drug/Narcotics,women Marijuana
1886,Drug/Narcotics,women did dumb things because they are drunk
1887,Drug/Narcotics,women drunk in public
1888,Drug/Narcotics,women smells like alcohol
1889,Drug/Narcotics,women blacked out
1890,Drug/Narcotics,women was drinking
1891,Drug/Narcotics,women  had vodka
1892,Drug/Narcotics,women  has beer
1893,Drug/Narcotics,women at a bar
1894,Drug/Narcotics,women gin
1895,Drug/Narcotics,women possession
1896,Drug/Narcotics,women bong
1897,Drug/Narcotics,women selling drugs
1898,Drug/Narcotics,women dealing drugs
1899,Drug/Narcotics,women dealing weed
1900,Drug/Narcotics,women rock
1901,Drug/Narcotics,women ounce
1902,Drug/Narcotics,women gram
1903,Drug/Narcotics,women has white powder
1904,Drug/Narcotics,women trafficking
1905,Drug/Narcotics,women has a lot of drugs
1906,Drug/Narcotics,women has a shipment
1907,Drug/Narcotics,women hallucinating
1908,Drug/Narcotics,women tripping out
1909,Drug/Narcotics,women took acid
1910,Drug/Narcotics,women is addicted to
1911,Drug/Narcotics,women growing weed
1912,Drug/Narcotics,women cooking meth
1913,Drug/Narcotics,women making meth
1914,Drug/Narcotics,women is making drugs
1915,Drug/Narcotics,women smoking a blunt
1916,Drug/Narcotics,women tripping out
1917,Drug/Narcotics,women drank too much
1918,Drug/Narcotics,women greened out
1919,Drug/Narcotics,a guy took drugs
1920,Drug/Narcotics,a guy snorted drugs
1921,Drug/Narcotics,a guy had drugs
1922,Drug/Narcotics,a guy smoked drugs
1923,Drug/Narcotics,a guy injected drugs
1924,Drug/Narcotics,a guy doing drugs
1925,Drug/Narcotics,a guy heroin
1926,Drug/Narcotics,a guy had meth
1927,Drug/Narcotics,a guy had crack
1928,Drug/Narcotics,a guy had weed
1929,Drug/Narcotics,a guy had coke
1930,Drug/Narcotics,a guy had cocaine
1931,Drug/Narcotics,a guy doing meth
1932,Drug/Narcotics,a guy doing coke
1933,Drug/Narcotics,a guy was selling drugs
1934,Drug/Narcotics,a guy was selling coke
1935,Drug/Narcotics,a guy was selling meth
1936,Drug/Narcotics,a guy was selling weed
1937,Drug/Narcotics,a guy cocaine
1938,Drug/Narcotics,a guy coke
1939,Drug/Narcotics,a guy was selling xanax
1940,Drug/Narcotics,a guy smoked weed
1941,Drug/Narcotics,a guy smoked crack
1942,Drug/Narcotics,a guy smoked meth
1943,Drug/Narcotics,a guy smoked from a pipe
1944,Drug/Narcotics,a guy had a joint
1945,Drug/Narcotics,a guy smells like weed
1946,Drug/Narcotics,a guy smells like skunk
1947,Drug/Narcotics,a guy had needles
1948,Drug/Narcotics,a guy dropped needles
1949,Drug/Narcotics,a guy has Heroin needles
1950,Drug/Narcotics,a guy  seems high
1951,Drug/Narcotics,a guy has used ectasy
1952,Drug/Narcotics,a guy has used Amphetamines
1953,Drug/Narcotics,a guy has used Cocaine
1954,Drug/Narcotics,a guy has used Methamphetamine
1955,Drug/Narcotics,a guy has used crack
1956,Drug/Narcotics,a guy on drugs
1957,Drug/Narcotics,a guy Marijuana Dispensary
1958,Drug/Narcotics,a guy weed
1959,Drug/Narcotics,a guy smells like weed
1960,Drug/Narcotics,a guy Marijuana
1961,Drug/Narcotics,a guy did dumb things because they are drunk
1962,Drug/Narcotics,a guy drunk in public
1963,Drug/Narcotics,a guy smells like alcohol
1964,Drug/Narcotics,a guy blacked out
1965,Drug/Narcotics,a guy was drinking
1966,Drug/Narcotics,a guy  had vodka
1967,Drug/Narcotics,a guy  has beer
1968,Drug/Narcotics,a guy at a bar
1969,Drug/Narcotics,a guy gin
1970,Drug/Narcotics,a guy possession
1971,Drug/Narcotics,a guy bong
1972,Drug/Narcotics,a guy selling drugs
1973,Drug/Narcotics,a guy dealing drugs
1974,Drug/Narcotics,a guy dealing weed
1975,Drug/Narcotics,a guy rock
1976,Drug/Narcotics,a guy ounce
1977,Drug/Narcotics,a guy gram
1978,Drug/Narcotics,a guy has white powder
1979,Drug/Narcotics,a guy trafficking
1980,Drug/Narcotics,a guy has a lot of drugs
1981,Drug/Narcotics,a guy has a shipment
1982,Drug/Narcotics,a guy hallucinating
1983,Drug/Narcotics,a guy tripping out
1984,Drug/Narcotics,a guy took acid
1985,Drug/Narcotics,a guy is addicted to
1986,Drug/Narcotics,a guy growing weed
1987,Drug/Narcotics,a guy cooking meth
1988,Drug/Narcotics,a guy making meth
1989,Drug/Narcotics,a guy is making drugs
1990,Drug/Narcotics,a guy smoking a blunt
1991,Drug/Narcotics,a guy tripping out
1992,Drug/Narcotics,a guy drank too much
1993,Drug/Narcotics,a guy greened out
1994,Drug/Narcotics,that person took drugs
1995,Drug/Narcotics,that person snorted drugs
1996,Drug/Narcotics,that person had drugs
1997,Drug/Narcotics,that person smoked drugs
1998,Drug/Narcotics,that person injected drugs
1999,Drug/Narcotics,that person doing drugs
2000,Drug/Narcotics,that person heroin
2001,Drug/Narcotics,that person had meth
2002,Drug/Narcotics,that person had crack
2003,Drug/Narcotics,that person had weed
2004,Drug/Narcotics,that person had coke
2005,Drug/Narcotics,that person had cocaine
2006,Drug/Narcotics,that person doing meth
2007,Drug/Narcotics,that person doing coke
2008,Drug/Narcotics,that person was selling drugs
2009,Drug/Narcotics,that person was selling coke
2010,Drug/Narcotics,that person was selling meth
2011,Drug/Narcotics,that person was selling weed
2012,Drug/Narcotics,that person cocaine
2013,Drug/Narcotics,that person coke
2014,Drug/Narcotics,that person was selling xanax
2015,Drug/Narcotics,that person smoked weed
2016,Drug/Narcotics,that person smoked crack
2017,Drug/Narcotics,that person smoked meth
2018,Drug/Narcotics,that person smoked from a pipe
2019,Drug/Narcotics,that person had a joint
2020,Drug/Narcotics,that person smells like weed
2021,Drug/Narcotics,that person smells like skunk
2022,Drug/Narcotics,that person had needles
2023,Drug/Narcotics,that person dropped needles
2024,Drug/Narcotics,that person has Heroin needles
2025,Drug/Narcotics,that person  seems high
2026,Drug/Narcotics,that person has used ectasy
2027,Drug/Narcotics,that person has used Amphetamines
2028,Drug/Narcotics,that person has used Cocaine
2029,Drug/Narcotics,that person has used Methamphetamine
2030,Drug/Narcotics,that person has used crack
2031,Drug/Narcotics,that person on drugs
2032,Drug/Narcotics,that person Marijuana Dispensary
2033,Drug/Narcotics,that person weed
2034,Drug/Narcotics,that person smells like weed
2035,Drug/Narcotics,that person Marijuana
2036,Drug/Narcotics,that person did dumb things because they are drunk
2037,Drug/Narcotics,that person drunk in public
2038,Drug/Narcotics,that person smells like alcohol
2039,Drug/Narcotics,that person blacked out
2040,Drug/Narcotics,that person was drinking
2041,Drug/Narcotics,that person  had vodka
2042,Drug/Narcotics,that person  has beer
2043,Drug/Narcotics,that person at a bar
2044,Drug/Narcotics,that person gin
2045,Drug/Narcotics,that person possession
2046,Drug/Narcotics,that person bong
2047,Drug/Narcotics,that person selling drugs
2048,Drug/Narcotics,that person dealing drugs
2049,Drug/Narcotics,that person dealing weed
2050,Drug/Narcotics,that person rock
2051,Drug/Narcotics,that person ounce
2052,Drug/Narcotics,that person gram
2053,Drug/Narcotics,that person has white powder
2054,Drug/Narcotics,that person trafficking
2055,Drug/Narcotics,that person has a lot of drugs
2056,Drug/Narcotics,that person has a shipment
2057,Drug/Narcotics,that person hallucinating
2058,Drug/Narcotics,that person tripping out
2059,Drug/Narcotics,that person took acid
2060,Drug/Narcotics,that person is addicted to
2061,Drug/Narcotics,that person growing weed
2062,Drug/Narcotics,that person cooking meth
2063,Drug/Narcotics,that person making meth
2064,Drug/Narcotics,that person is making drugs
2065,Drug/Narcotics,that person smoking a blunt
2066,Drug/Narcotics,that person tripping out
2067,Drug/Narcotics,that person drank too much
2068,Drug/Narcotics,that person greened out
2069,Drug/Narcotics,them took drugs
2070,Drug/Narcotics,them snorted drugs
2071,Drug/Narcotics,them had drugs
2072,Drug/Narcotics,them smoked drugs
2073,Drug/Narcotics,them injected drugs
2074,Drug/Narcotics,them doing drugs
2075,Drug/Narcotics,them heroin
2076,Drug/Narcotics,them had meth
2077,Drug/Narcotics,them had crack
2078,Drug/Narcotics,them had weed
2079,Drug/Narcotics,them had coke
2080,Drug/Narcotics,them had cocaine
2081,Drug/Narcotics,them doing meth
2082,Drug/Narcotics,them doing coke
2083,Drug/Narcotics,them was selling drugs
2084,Drug/Narcotics,them was selling coke
2085,Drug/Narcotics,them was selling meth
2086,Drug/Narcotics,them was selling weed
2087,Drug/Narcotics,them cocaine
2088,Drug/Narcotics,them coke
2089,Drug/Narcotics,them was selling xanax
2090,Drug/Narcotics,them smoked weed
2091,Drug/Narcotics,them smoked crack
2092,Drug/Narcotics,them smoked meth
2093,Drug/Narcotics,them smoked from a pipe
2094,Drug/Narcotics,them had a joint
2095,Drug/Narcotics,them smells like weed
2096,Drug/Narcotics,them smells like skunk
2097,Drug/Narcotics,them had needles
2098,Drug/Narcotics,them dropped needles
2099,Drug/Narcotics,them has Heroin needles
2100,Drug/Narcotics,them  seems high
2101,Drug/Narcotics,them has used ectasy
2102,Drug/Narcotics,them has used Amphetamines
2103,Drug/Narcotics,them has used Cocaine
2104,Drug/Narcotics,them has used Methamphetamine
2105,Drug/Narcotics,them has used crack
2106,Drug/Narcotics,them on drugs
2107,Drug/Narcotics,them Marijuana Dispensary
2108,Drug/Narcotics,them weed
2109,Drug/Narcotics,them smells like weed
2110,Drug/Narcotics,them Marijuana
2111,Drug/Narcotics,them did dumb things because they are drunk
2112,Drug/Narcotics,them drunk in public
2113,Drug/Narcotics,them smells like alcohol
2114,Drug/Narcotics,them blacked out
2115,Drug/Narcotics,them was drinking
2116,Drug/Narcotics,them  had vodka
2117,Drug/Narcotics,them  has beer
2118,Drug/Narcotics,them at a bar
2119,Drug/Narcotics,them gin
2120,Drug/Narcotics,them possession
2121,Drug/Narcotics,them bong
2122,Drug/Narcotics,them selling drugs
2123,Drug/Narcotics,them dealing drugs
2124,Drug/Narcotics,them dealing weed
2125,Drug/Narcotics,them rock
2126,Drug/Narcotics,them ounce
2127,Drug/Narcotics,them gram
2128,Drug/Narcotics,them has white powder
2129,Drug/Narcotics,them trafficking
2130,Drug/Narcotics,them has a lot of drugs
2131,Drug/Narcotics,them has a shipment
2132,Drug/Narcotics,them hallucinating
2133,Drug/Narcotics,them tripping out
2134,Drug/Narcotics,them took acid
2135,Drug/Narcotics,them is addicted to
2136,Drug/Narcotics,them growing weed
2137,Drug/Narcotics,them cooking meth
2138,Drug/Narcotics,them making meth
2139,Drug/Narcotics,them is making drugs
2140,Drug/Narcotics,them smoking a blunt
2141,Drug/Narcotics,them tripping out
2142,Drug/Narcotics,them drank too much
2143,Drug/Narcotics,them greened out
2144,Drug/Narcotics,I see took drugs
2145,Drug/Narcotics,I see snorted drugs
2146,Drug/Narcotics,I see had drugs
2147,Drug/Narcotics,I see smoked drugs
2148,Drug/Narcotics,I see injected drugs
2149,Drug/Narcotics,I see doing drugs
2150,Drug/Narcotics,I see heroin
2151,Drug/Narcotics,I see had meth
2152,Drug/Narcotics,I see had crack
2153,Drug/Narcotics,I see had weed
2154,Drug/Narcotics,I see had coke
2155,Drug/Narcotics,I see had cocaine
2156,Drug/Narcotics,I see doing meth
2157,Drug/Narcotics,I see doing coke
2158,Drug/Narcotics,I see was selling drugs
2159,Drug/Narcotics,I see was selling coke
2160,Drug/Narcotics,I see was selling meth
2161,Drug/Narcotics,I see was selling weed
2162,Drug/Narcotics,I see cocaine
2163,Drug/Narcotics,I see coke
2164,Drug/Narcotics,I see was selling xanax
2165,Drug/Narcotics,I see smoked weed
2166,Drug/Narcotics,I see smoked crack
2167,Drug/Narcotics,I see smoked meth
2168,Drug/Narcotics,I see smoked from a pipe
2169,Drug/Narcotics,I see had a joint
2170,Drug/Narcotics,I see smells like weed
2171,Drug/Narcotics,I see smells like skunk
2172,Drug/Narcotics,I see had needles
2173,Drug/Narcotics,I see dropped needles
2174,Drug/Narcotics,I see has Heroin needles
2175,Drug/Narcotics,I see  seems high
2176,Drug/Narcotics,I see has used ectasy
2177,Drug/Narcotics,I see has used Amphetamines
2178,Drug/Narcotics,I see has used Cocaine
2179,Drug/Narcotics,I see has used Methamphetamine
2180,Drug/Narcotics,I see has used crack
2181,Drug/Narcotics,I see on drugs
2182,Drug/Narcotics,I see Marijuana Dispensary
2183,Drug/Narcotics,I see weed
2184,Drug/Narcotics,I see smells like weed
2185,Drug/Narcotics,I see Marijuana
2186,Drug/Narcotics,I see did dumb things because they are drunk
2187,Drug/Narcotics,I see drunk in public
2188,Drug/Narcotics,I see smells like alcohol
2189,Drug/Narcotics,I see blacked out
2190,Drug/Narcotics,I see was drinking
2191,Drug/Narcotics,I see  had vodka
2192,Drug/Narcotics,I see  has beer
2193,Drug/Narcotics,I see at a bar
2194,Drug/Narcotics,I see gin
2195,Drug/Narcotics,I see possession
2196,Drug/Narcotics,I see bong
2197,Drug/Narcotics,I see selling drugs
2198,Drug/Narcotics,I see dealing drugs
2199,Drug/Narcotics,I see dealing weed
2200,Drug/Narcotics,I see rock
2201,Drug/Narcotics,I see ounce
2202,Drug/Narcotics,I see gram
2203,Drug/Narcotics,I see has white powder
2204,Drug/Narcotics,I see trafficking
2205,Drug/Narcotics,I see has a lot of drugs
2206,Drug/Narcotics,I see has a shipment
2207,Drug/Narcotics,I see hallucinating
2208,Drug/Narcotics,I see tripping out
2209,Drug/Narcotics,I see took acid
2210,Drug/Narcotics,I see is addicted to
2211,Drug/Narcotics,I see growing weed
2212,Drug/Narcotics,I see cooking meth
2213,Drug/Narcotics,I see making meth
2214,Drug/Narcotics,I see is making drugs
2215,Drug/Narcotics,I see smoking a blunt
2216,Drug/Narcotics,I see tripping out
2217,Drug/Narcotics,I see drank too much
2218,Drug/Narcotics,I see greened out
2219,Drug/Narcotics,There is took drugs
2220,Drug/Narcotics,There is snorted drugs
2221,Drug/Narcotics,There is had drugs
2222,Drug/Narcotics,There is smoked drugs
2223,Drug/Narcotics,There is injected drugs
2224,Drug/Narcotics,There is doing drugs
2225,Drug/Narcotics,There is heroin
2226,Drug/Narcotics,There is had meth
2227,Drug/Narcotics,There is had crack
2228,Drug/Narcotics,There is had weed
2229,Drug/Narcotics,There is had coke
2230,Drug/Narcotics,There is had cocaine
2231,Drug/Narcotics,There is doing meth
2232,Drug/Narcotics,There is doing coke
2233,Drug/Narcotics,There is was selling drugs
2234,Drug/Narcotics,There is was selling coke
2235,Drug/Narcotics,There is was selling meth
2236,Drug/Narcotics,There is was selling weed
2237,Drug/Narcotics,There is cocaine
2238,Drug/Narcotics,There is coke
2239,Drug/Narcotics,There is was selling xanax
2240,Drug/Narcotics,There is smoked weed
2241,Drug/Narcotics,There is smoked crack
2242,Drug/Narcotics,There is smoked meth
2243,Drug/Narcotics,There is smoked from a pipe
2244,Drug/Narcotics,There is had a joint
2245,Drug/Narcotics,There is smells like weed
2246,Drug/Narcotics,There is smells like skunk
2247,Drug/Narcotics,There is had needles
2248,Drug/Narcotics,There is dropped needles
2249,Drug/Narcotics,There is has Heroin needles
2250,Drug/Narcotics,There is  seems high
2251,Drug/Narcotics,There is has used ectasy
2252,Drug/Narcotics,There is has used Amphetamines
2253,Drug/Narcotics,There is has used Cocaine
2254,Drug/Narcotics,There is has used Methamphetamine
2255,Drug/Narcotics,There is has used crack
2256,Drug/Narcotics,There is on drugs
2257,Drug/Narcotics,There is Marijuana Dispensary
2258,Drug/Narcotics,There is weed
2259,Drug/Narcotics,There is smells like weed
2260,Drug/Narcotics,There is Marijuana
2261,Drug/Narcotics,There is did dumb things because they are drunk
2262,Drug/Narcotics,There is drunk in public
2263,Drug/Narcotics,There is smells like alcohol
2264,Drug/Narcotics,There is blacked out
2265,Drug/Narcotics,There is was drinking
2266,Drug/Narcotics,There is  had vodka
2267,Drug/Narcotics,There is  has beer
2268,Drug/Narcotics,There is at a bar
2269,Drug/Narcotics,There is gin
2270,Drug/Narcotics,There is possession
2271,Drug/Narcotics,There is bong
2272,Drug/Narcotics,There is selling drugs
2273,Drug/Narcotics,There is dealing drugs
2274,Drug/Narcotics,There is dealing weed
2275,Drug/Narcotics,There is rock
2276,Drug/Narcotics,There is ounce
2277,Drug/Narcotics,There is gram
2278,Drug/Narcotics,There is has white powder
2279,Drug/Narcotics,There is trafficking
2280,Drug/Narcotics,There is has a lot of drugs
2281,Drug/Narcotics,There is has a shipment
2282,Drug/Narcotics,There is hallucinating
2283,Drug/Narcotics,There is tripping out
2284,Drug/Narcotics,There is took acid
2285,Drug/Narcotics,There is is addicted to
2286,Drug/Narcotics,There is growing weed
2287,Drug/Narcotics,There is cooking meth
2288,Drug/Narcotics,There is making meth
2289,Drug/Narcotics,There is is making drugs
2290,Drug/Narcotics,There is smoking a blunt
2291,Drug/Narcotics,There is tripping out
2292,Drug/Narcotics,There is drank too much
2293,Drug/Narcotics,There is greened out
2294,Drug/Narcotics,Another took drugs
2295,Drug/Narcotics,Another snorted drugs
2296,Drug/Narcotics,Another had drugs
2297,Drug/Narcotics,Another smoked drugs
2298,Drug/Narcotics,Another injected drugs
2299,Drug/Narcotics,Another doing drugs
2300,Drug/Narcotics,Another heroin
2301,Drug/Narcotics,Another had meth
2302,Drug/Narcotics,Another had crack
2303,Drug/Narcotics,Another had weed
2304,Drug/Narcotics,Another had coke
2305,Drug/Narcotics,Another had cocaine
2306,Drug/Narcotics,Another doing meth
2307,Drug/Narcotics,Another doing coke
2308,Drug/Narcotics,Another was selling drugs
2309,Drug/Narcotics,Another was selling coke
2310,Drug/Narcotics,Another was selling meth
2311,Drug/Narcotics,Another was selling weed
2312,Drug/Narcotics,Another cocaine
2313,Drug/Narcotics,Another coke
2314,Drug/Narcotics,Another was selling xanax
2315,Drug/Narcotics,Another smoked weed
2316,Drug/Narcotics,Another smoked crack
2317,Drug/Narcotics,Another smoked meth
2318,Drug/Narcotics,Another smoked from a pipe
2319,Drug/Narcotics,Another had a joint
2320,Drug/Narcotics,Another smells like weed
2321,Drug/Narcotics,Another smells like skunk
2322,Drug/Narcotics,Another had needles
2323,Drug/Narcotics,Another dropped needles
2324,Drug/Narcotics,Another has Heroin needles
2325,Drug/Narcotics,Another  seems high
2326,Drug/Narcotics,Another has used ectasy
2327,Drug/Narcotics,Another has used Amphetamines
2328,Drug/Narcotics,Another has used Cocaine
2329,Drug/Narcotics,Another has used Methamphetamine
2330,Drug/Narcotics,Another has used crack
2331,Drug/Narcotics,Another on drugs
2332,Drug/Narcotics,Another Marijuana Dispensary
2333,Drug/Narcotics,Another weed
2334,Drug/Narcotics,Another smells like weed
2335,Drug/Narcotics,Another Marijuana
2336,Drug/Narcotics,Another did dumb things because they are drunk
2337,Drug/Narcotics,Another drunk in public
2338,Drug/Narcotics,Another smells like alcohol
2339,Drug/Narcotics,Another blacked out
2340,Drug/Narcotics,Another was drinking
2341,Drug/Narcotics,Another  had vodka
2342,Drug/Narcotics,Another  has beer
2343,Drug/Narcotics,Another at a bar
2344,Drug/Narcotics,Another gin
2345,Drug/Narcotics,Another possession
2346,Drug/Narcotics,Another bong
2347,Drug/Narcotics,Another selling drugs
2348,Drug/Narcotics,Another dealing drugs
2349,Drug/Narcotics,Another dealing weed
2350,Drug/Narcotics,Another rock
2351,Drug/Narcotics,Another ounce
2352,Drug/Narcotics,Another gram
2353,Drug/Narcotics,Another has white powder
2354,Drug/Narcotics,Another trafficking
2355,Drug/Narcotics,Another has a lot of drugs
2356,Drug/Narcotics,Another has a shipment
2357,Drug/Narcotics,Another hallucinating
2358,Drug/Narcotics,Another tripping out
2359,Drug/Narcotics,Another took acid
2360,Drug/Narcotics,Another is addicted to
2361,Drug/Narcotics,Another growing weed
2362,Drug/Narcotics,Another cooking meth
2363,Drug/Narcotics,Another making meth
2364,Drug/Narcotics,Another is making drugs
2365,Drug/Narcotics,Another smoking a blunt
2366,Drug/Narcotics,Another tripping out
2367,Drug/Narcotics,Another drank too much
2368,Drug/Narcotics,Another greened out
2369,Larceny/Theft,He stole my bike
2370,Larceny/Theft,He stole a bike
2371,Larceny/Theft,He bike is gone
2372,Larceny/Theft,He took bike
2373,Larceny/Theft,He bike
2374,Larceny/Theft,He bike lock
2375,Larceny/Theft,He stealing
2376,Larceny/Theft,He stole
2377,Larceny/Theft,He broke
2378,Larceny/Theft,He theft
2379,Larceny/Theft,He thief
2380,Larceny/Theft,He steal
2381,Larceny/Theft,He took it
2382,Larceny/Theft,He car stolen
2383,Larceny/Theft,He car was hijacked
2384,Larceny/Theft,He alarm in a car is going off
2385,Larceny/Theft,He car is gone
2386,Larceny/Theft,He stole car
2387,Larceny/Theft,He took car
2388,Larceny/Theft,He car
2389,Larceny/Theft,He van
2390,Larceny/Theft,He suv
2391,Larceny/Theft,He tesla
2392,Larceny/Theft,He toyota
2393,Larceny/Theft,He honda
2394,Larceny/Theft,He bmw
2395,Larceny/Theft,He mercedes
2396,Larceny/Theft,He truck
2397,Larceny/Theft,He lock
2398,Larceny/Theft,He broke lock
2399,Larceny/Theft,He opened door
2400,Larceny/Theft,He Somebody broke into my house
2401,Larceny/Theft,He break intostole something in my apartment
2402,Larceny/Theft,He stole something
2403,Larceny/Theft,He stole something in my condo
2404,Larceny/Theft,He broke into my apartment
2405,Larceny/Theft,He broke into my condo
2406,Larceny/Theft,He breaking into that house
2407,Larceny/Theft,He breaking into that condo
2408,Larceny/Theft,He breaking into that apartment
2409,Larceny/Theft,He house
2410,Larceny/Theft,He apartment
2411,Larceny/Theft,He condo
2412,Larceny/Theft,He stole purse
2413,Larceny/Theft,He stole money
2414,Larceny/Theft,He took phone
2415,Larceny/Theft,He ran off after taking something
2416,Larceny/Theft,He stole belongings
2417,Larceny/Theft,He robbed me
2418,Larceny/Theft,He laptop stolen
2419,Larceny/Theft,He computer stolen
2420,Larceny/Theft,He took from locked car
2421,Larceny/Theft,He took credit card
2422,Larceny/Theft,He stole wallet
2423,Larceny/Theft,He shoplifting
2424,Larceny/Theft,He shop lifted
2425,Larceny/Theft,He took from store
2426,Larceny/Theft,He stole from mall
2427,Larceny/Theft,He lost it
2428,Larceny/Theft,He stolen bike
2429,Larceny/Theft,He stolen motercycke
2430,Larceny/Theft,He burglar
2431,Larceny/Theft,He robbery
2432,Larceny/Theft,He robbed
2433,Larceny/Theft,He robbing
2434,Larceny/Theft,He robbed me with gun
2435,Larceny/Theft,He robbed me with knife
2436,Larceny/Theft,He pickpocket
2437,Larceny/Theft,She stole my bike
2438,Larceny/Theft,She stole a bike
2439,Larceny/Theft,She bike is gone
2440,Larceny/Theft,She took bike
2441,Larceny/Theft,She bike
2442,Larceny/Theft,She bike lock
2443,Larceny/Theft,She stealing
2444,Larceny/Theft,She stole
2445,Larceny/Theft,She broke
2446,Larceny/Theft,She theft
2447,Larceny/Theft,She thief
2448,Larceny/Theft,She steal
2449,Larceny/Theft,She took it
2450,Larceny/Theft,She car stolen
2451,Larceny/Theft,She car was hijacked
2452,Larceny/Theft,She alarm in a car is going off
